dataset,model,prompt_set,r,p
advice/health_advice_sturctured_abs_annotation_test_folds.csv,EleutherAI/gpt-j-6b,1a,0.897690718,0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,EleutherAI/gpt-neo-1.3B,1a,0.905920703,0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,EleutherAI/gpt-neo-2.7B,1a,0.952186077,0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,chavinlo/alpaca-13b,1a,-0.071772916,6.72E-07
advice/health_advice_sturctured_abs_annotation_test_folds.csv,chavinlo/alpaca-native,1a,0.204192906,3.36E-46
advice/health_advice_sturctured_abs_annotation_test_folds.csv,gpt2,1a,0.56403254,0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,togethercomputer/GPT-JT-6B-v1,1a,0.848750017,0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,EleutherAI/gpt-j-6b,2a,0.814922862,0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,EleutherAI/gpt-neo-1.3B,2a,0.988856028,0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,EleutherAI/gpt-neo-2.7B,2a,0.946401152,0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,chavinlo/alpaca-13b,2a,0.569733234,0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,chavinlo/alpaca-native,2a,0.873342617,0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,gpt2,2a,-0.241156839,2.89E-64
advice/health_advice_sturctured_abs_annotation_test_folds.csv,togethercomputer/GPT-JT-6B-v1,2a,0.976185614,0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,EleutherAI/gpt-j-6b,3a,0.416856148,1.70E-200
advice/health_advice_sturctured_abs_annotation_test_folds.csv,EleutherAI/gpt-neo-1.3B,3a,0.945497901,0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,EleutherAI/gpt-neo-2.7B,3a,0.877153368,0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,chavinlo/alpaca-13b,3a,-0.015191589,0.293472407
advice/health_advice_sturctured_abs_annotation_test_folds.csv,chavinlo/alpaca-native,3a,0.602691517,0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,gpt2,3a,-0.739964193,0
advice/health_advice_sturctured_abs_annotation_test_folds.csv,togethercomputer/GPT-JT-6B-v1,3a,0.436909147,2.94E-222
boolq/dev.csv,EleutherAI/gpt-j-6b,1a,-0.903491435,0
boolq/dev.csv,EleutherAI/gpt-neo-1.3B,1a,0.523880851,5.68E-230
boolq/dev.csv,EleutherAI/gpt-neo-2.7B,1a,-0.910919653,0
boolq/dev.csv,chavinlo/alpaca-13b,1a,0.966192058,0
boolq/dev.csv,chavinlo/alpaca-native,1a,0.707702232,0
boolq/dev.csv,togethercomputer/GPT-JT-6B-v1,1a,-0.889732174,0
boolq/dev.csv,EleutherAI/gpt-j-6b,2a,0.953310459,0
boolq/dev.csv,EleutherAI/gpt-neo-1.3B,2a,0.760070251,0
boolq/dev.csv,EleutherAI/gpt-neo-2.7B,2a,0.964318073,0
boolq/dev.csv,chavinlo/alpaca-13b,2a,0.646876793,0
boolq/dev.csv,chavinlo/alpaca-native,2a,0.231510954,4.85E-41
boolq/dev.csv,togethercomputer/GPT-JT-6B-v1,2a,0.353878986,4.46E-97
boolq/dev.csv,EleutherAI/gpt-j-6b,3a,-0.817151861,0
boolq/dev.csv,EleutherAI/gpt-neo-1.3B,3a,-0.839156801,0
boolq/dev.csv,EleutherAI/gpt-neo-2.7B,3a,-0.961532197,0
boolq/dev.csv,chavinlo/alpaca-13b,3a,0.975323212,0
boolq/dev.csv,chavinlo/alpaca-native,3a,0.562841512,1.14E-272
boolq/dev.csv,togethercomputer/GPT-JT-6B-v1,3a,-0.867938577,0
cola/raw/in_domain_dev.tsv,EleutherAI/gpt-j-6b,1a,0.609646325,6.02E-55
cola/raw/in_domain_dev.tsv,EleutherAI/gpt-neo-1.3B,1a,-0.964041563,2.55E-304
cola/raw/in_domain_dev.tsv,EleutherAI/gpt-neo-2.7B,1a,-0.926431265,6.75E-225
cola/raw/in_domain_dev.tsv,EleutherAI/gpt-neox-20b,1a,-0.859650633,2.99E-155
cola/raw/in_domain_dev.tsv,chavinlo/alpaca-13b,1a,0.884665838,4.05E-176
cola/raw/in_domain_dev.tsv,chavinlo/alpaca-native,1a,0.851881007,1.40E-149
cola/raw/in_domain_dev.tsv,gpt2,1a,-0.431313462,2.74E-25
cola/raw/in_domain_dev.tsv,togethercomputer/GPT-JT-6B-v1,1a,-0.679165667,1.56E-72
cola/raw/in_domain_dev.tsv,togethercomputer/GPT-NeoXT-Chat-Base-20B,1a,-0.212424596,8.60E-07
cola/raw/in_domain_dev.tsv,EleutherAI/gpt-j-6b,2a,0.950647986,5.35E-269
cola/raw/in_domain_dev.tsv,EleutherAI/gpt-neo-1.3B,2a,0.975437721,0
cola/raw/in_domain_dev.tsv,EleutherAI/gpt-neo-2.7B,2a,0.861910699,5.78E-157
cola/raw/in_domain_dev.tsv,EleutherAI/gpt-neox-20b,2a,0.927664462,9.43E-227
cola/raw/in_domain_dev.tsv,chavinlo/alpaca-13b,2a,0.892831103,5.32E-184
cola/raw/in_domain_dev.tsv,chavinlo/alpaca-native,2a,0.789461833,2.28E-113
cola/raw/in_domain_dev.tsv,gpt2,2a,0.995072174,0
cola/raw/in_domain_dev.tsv,togethercomputer/GPT-JT-6B-v1,2a,-0.106318024,0.014613573
cola/raw/in_domain_dev.tsv,togethercomputer/GPT-NeoXT-Chat-Base-20B,2a,0.771427848,3.82E-105
cola/raw/in_domain_dev.tsv,EleutherAI/gpt-j-6b,3a,0.171098451,7.89E-05
cola/raw/in_domain_dev.tsv,EleutherAI/gpt-neo-1.3B,3a,0.99682288,0
cola/raw/in_domain_dev.tsv,EleutherAI/gpt-neo-2.7B,3a,0.993651746,0
cola/raw/in_domain_dev.tsv,EleutherAI/gpt-neox-20b,3a,-0.173273893,6.37E-05
cola/raw/in_domain_dev.tsv,chavinlo/alpaca-13b,3a,0.727910634,4.36E-88
cola/raw/in_domain_dev.tsv,chavinlo/alpaca-native,3a,0.908675035,2.69E-201
cola/raw/in_domain_dev.tsv,gpt2,3a,0.658319882,9.13E-67
cola/raw/in_domain_dev.tsv,togethercomputer/GPT-JT-6B-v1,3a,-0.765134293,1.89E-102
cola/raw/in_domain_dev.tsv,togethercomputer/GPT-NeoXT-Chat-Base-20B,3a,0.949789624,4.41E-267
multinli/multinli_1.0_dev_matched.txt,EleutherAI/gpt-j-6b,1a,0.996413982,0
multinli/multinli_1.0_dev_matched.txt,EleutherAI/gpt-neo-1.3B,1a,0.952867848,0
multinli/multinli_1.0_dev_matched.txt,EleutherAI/gpt-neo-2.7B,1a,0.855329724,0
multinli/multinli_1.0_dev_matched.txt,chavinlo/alpaca-13b,1a,0.163857473,3.97E-61
multinli/multinli_1.0_dev_matched.txt,chavinlo/alpaca-native,1a,0.815304773,0
multinli/multinli_1.0_dev_matched.txt,gpt2,1a,0.86559001,0
multinli/multinli_1.0_dev_matched.txt,togethercomputer/GPT-JT-6B-v1,1a,0.80045469,0
multinli/multinli_1.0_dev_matched.txt,EleutherAI/gpt-j-6b,2a,0.970840094,0
multinli/multinli_1.0_dev_matched.txt,EleutherAI/gpt-neo-1.3B,2a,0.033175317,0.000906547
multinli/multinli_1.0_dev_matched.txt,EleutherAI/gpt-neo-2.7B,2a,0.312778491,7.80E-226
multinli/multinli_1.0_dev_matched.txt,chavinlo/alpaca-13b,2a,0.841077177,0
multinli/multinli_1.0_dev_matched.txt,chavinlo/alpaca-native,2a,0.91105917,0
multinli/multinli_1.0_dev_matched.txt,gpt2,2a,0.675076797,0
multinli/multinli_1.0_dev_matched.txt,togethercomputer/GPT-JT-6B-v1,2a,0.672915262,0
multinli/multinli_1.0_dev_matched.txt,EleutherAI/gpt-j-6b,3a,0.969456708,0
multinli/multinli_1.0_dev_matched.txt,EleutherAI/gpt-neo-1.3B,3a,0.651428893,0
multinli/multinli_1.0_dev_matched.txt,EleutherAI/gpt-neo-2.7B,3a,0.944272217,0
multinli/multinli_1.0_dev_matched.txt,chavinlo/alpaca-13b,3a,0.950007765,0
multinli/multinli_1.0_dev_matched.txt,chavinlo/alpaca-native,3a,0.569990103,0
multinli/multinli_1.0_dev_matched.txt,gpt2,3a,0.774380201,0
multinli/multinli_1.0_dev_matched.txt,togethercomputer/GPT-JT-6B-v1,3a,0.06516854,6.89E-11
pubmed/pubmed_causal_annotation_test_folds.csv,EleutherAI/gpt-j-6b,1a,0.994461019,0
pubmed/pubmed_causal_annotation_test_folds.csv,EleutherAI/gpt-neo-1.3B,1a,0.993098537,0
pubmed/pubmed_causal_annotation_test_folds.csv,EleutherAI/gpt-neo-2.7B,1a,0.885080404,0
pubmed/pubmed_causal_annotation_test_folds.csv,chavinlo/alpaca-13b,1a,-0.239005786,4.08E-33
pubmed/pubmed_causal_annotation_test_folds.csv,chavinlo/alpaca-native,1a,0.286314692,2.27E-47
pubmed/pubmed_causal_annotation_test_folds.csv,gpt2,1a,0.340070683,2.82E-67
pubmed/pubmed_causal_annotation_test_folds.csv,togethercomputer/GPT-JT-6B-v1,1a,0.945437274,0
pubmed/pubmed_causal_annotation_test_folds.csv,EleutherAI/gpt-j-6b,2a,0.824098998,0
pubmed/pubmed_causal_annotation_test_folds.csv,EleutherAI/gpt-neo-1.3B,2a,0.988106531,0
pubmed/pubmed_causal_annotation_test_folds.csv,EleutherAI/gpt-neo-2.7B,2a,0.966349625,0
pubmed/pubmed_causal_annotation_test_folds.csv,chavinlo/alpaca-13b,2a,0.741303709,0
pubmed/pubmed_causal_annotation_test_folds.csv,chavinlo/alpaca-native,2a,0.435233331,1.29E-113
pubmed/pubmed_causal_annotation_test_folds.csv,gpt2,2a,-0.502463903,1.20E-156
pubmed/pubmed_causal_annotation_test_folds.csv,togethercomputer/GPT-JT-6B-v1,2a,0.930753782,0
pubmed/pubmed_causal_annotation_test_folds.csv,EleutherAI/gpt-j-6b,3a,0.931825279,0
pubmed/pubmed_causal_annotation_test_folds.csv,EleutherAI/gpt-neo-1.3B,3a,0.987047278,0
pubmed/pubmed_causal_annotation_test_folds.csv,EleutherAI/gpt-neo-2.7B,3a,0.903783519,0
pubmed/pubmed_causal_annotation_test_folds.csv,chavinlo/alpaca-13b,3a,0.295272759,2.10E-50
pubmed/pubmed_causal_annotation_test_folds.csv,chavinlo/alpaca-native,3a,0.420811822,1.41E-105
pubmed/pubmed_causal_annotation_test_folds.csv,gpt2,3a,-0.853319345,0
pubmed/pubmed_causal_annotation_test_folds.csv,togethercomputer/GPT-JT-6B-v1,3a,0.819207602,0
rte/dev.csv,EleutherAI/gpt-j-6b,1a,0.992439703,1.41E-252
rte/dev.csv,EleutherAI/gpt-neo-1.3B,1a,0.838946335,1.24E-74
rte/dev.csv,EleutherAI/gpt-neo-2.7B,1a,0.978177545,1.06E-189
rte/dev.csv,chavinlo/alpaca-13b,1a,0.753166037,6.10E-52
rte/dev.csv,chavinlo/alpaca-native,1a,0.416995929,4.44E-13
rte/dev.csv,gpt2,1a,0.936051002,9.20E-127
rte/dev.csv,togethercomputer/GPT-JT-6B-v1,1a,0.448531217,4.08E-15
rte/dev.csv,EleutherAI/gpt-j-6b,2a,0.954990245,3.66E-147
rte/dev.csv,EleutherAI/gpt-neo-1.3B,2a,-0.727906803,5.64E-47
rte/dev.csv,EleutherAI/gpt-neo-2.7B,2a,0.992911883,2.05E-256
rte/dev.csv,chavinlo/alpaca-13b,2a,0.01391889,0.817609947
rte/dev.csv,chavinlo/alpaca-native,2a,0.617762698,1.53E-30
rte/dev.csv,gpt2,2a,0.960581473,6.47E-155
rte/dev.csv,togethercomputer/GPT-JT-6B-v1,2a,-0.56437119,1.06E-24
rte/dev.csv,EleutherAI/gpt-j-6b,3a,-0.711637942,4.61E-44
rte/dev.csv,EleutherAI/gpt-neo-1.3B,3a,-0.94624712,7.96E-137
rte/dev.csv,EleutherAI/gpt-neo-2.7B,3a,-0.959533548,2.22E-153
rte/dev.csv,chavinlo/alpaca-13b,3a,0.987930506,8.90E-225
rte/dev.csv,chavinlo/alpaca-native,3a,0.22367835,0.000174324
rte/dev.csv,gpt2,3a,-0.746803006,1.23E-50
rte/dev.csv,togethercomputer/GPT-JT-6B-v1,3a,-0.712633485,3.10E-44
snli/snli_1.0_test.txt,EleutherAI/gpt-j-6b,1a,0.992491435,0
snli/snli_1.0_test.txt,EleutherAI/gpt-neo-1.3B,1a,-0.375165803,0
snli/snli_1.0_test.txt,EleutherAI/gpt-neo-2.7B,1a,-0.181246665,1.33E-74
snli/snli_1.0_test.txt,chavinlo/alpaca-13b,1a,0.371825129,0
snli/snli_1.0_test.txt,chavinlo/alpaca-native,1a,0.792541474,0
snli/snli_1.0_test.txt,gpt2,1a,0.756343295,0
snli/snli_1.0_test.txt,togethercomputer/GPT-JT-6B-v1,1a,0.773582362,0
snli/snli_1.0_test.txt,EleutherAI/gpt-j-6b,2a,0.941691488,0
snli/snli_1.0_test.txt,EleutherAI/gpt-neo-1.3B,2a,0.962818466,0
snli/snli_1.0_test.txt,EleutherAI/gpt-neo-2.7B,2a,0.951970099,0
snli/snli_1.0_test.txt,chavinlo/alpaca-13b,2a,0.017229705,0.084909694
snli/snli_1.0_test.txt,chavinlo/alpaca-native,2a,0.551935731,0
snli/snli_1.0_test.txt,gpt2,2a,0.731372107,0
snli/snli_1.0_test.txt,togethercomputer/GPT-JT-6B-v1,2a,0.88367825,0
snli/snli_1.0_test.txt,EleutherAI/gpt-j-6b,3a,0.520250072,0
snli/snli_1.0_test.txt,EleutherAI/gpt-neo-1.3B,3a,-0.467640938,0
snli/snli_1.0_test.txt,EleutherAI/gpt-neo-2.7B,3a,0.345841925,6.34E-279
snli/snli_1.0_test.txt,chavinlo/alpaca-13b,3a,0.765547154,0
snli/snli_1.0_test.txt,chavinlo/alpaca-native,3a,0.879126341,0
snli/snli_1.0_test.txt,gpt2,3a,0.234542799,4.91E-125
snli/snli_1.0_test.txt,togethercomputer/GPT-JT-6B-v1,3a,0.234608649,4.17E-125
